epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.3756,0.66548,2.79788,0.9126,0.00333,1,0.995,0.90435,0.35976,2.84134,0.81142,0.000444444,0.000444444,0.000444444
2,108.773,0.75501,1.73016,0.90181,0.00333,1,0.995,0.80865,0.65013,2.65589,0.84786,0.00105611,0.00105611,0.00105611
3,164.527,0.78641,2.76472,0.97959,0.90908,1,0.995,0.58771,1.16983,2.16993,1.24047,0.00160178,0.00160178,0.00160178
4,211.413,0.89207,2.97976,1.05796,1,0.89079,0.97833,0.52648,1.61896,2.31718,2.31211,0.001703,0.001703,0.001703
5,256.78,0.92242,1.91174,1.00805,0.24812,0.4,0.28206,0.12037,1.29841,5.12776,1.71663,0.001604,0.001604,0.001604
6,297.397,0.80488,1.69589,0.95534,0.24812,0.4,0.28206,0.12037,1.29841,5.12776,1.71663,0.001505,0.001505,0.001505
7,333.951,0.73668,1.52418,0.95576,0.00333,1,0.00666,0.004,1.23867,5.2506,1.2338,0.001406,0.001406,0.001406
8,370.4,0.74619,1.67813,0.99516,0.00333,1,0.00683,0.00404,1.46601,5.35639,1.38886,0.001307,0.001307,0.001307
9,407.877,0.6238,1.54879,0.90947,0.00333,1,0.00703,0.00569,0.83975,3.88335,1.15658,0.001208,0.001208,0.001208
10,1306.14,0.64881,1.25097,0.97246,0.00333,1,0.00703,0.00569,0.83975,3.88335,1.15658,0.001109,0.001109,0.001109
11,1387.95,0.50101,1.61857,0.86894,0.00333,1,0.00723,0.00624,0.59449,3.64178,1.01112,0.00101,0.00101,0.00101
12,1441.49,0.45827,1.47743,0.84181,0.00333,1,0.00723,0.00687,0.38287,3.74837,0.84515,0.000911,0.000911,0.000911
13,1489.89,0.40813,1.45584,0.8581,0.00333,1,0.02372,0.02265,0.31069,3.60036,0.79649,0.000812,0.000812,0.000812
14,1523.9,0.39449,1.38002,0.84832,0.00333,1,0.02372,0.02265,0.31069,3.60036,0.79649,0.000713,0.000713,0.000713
15,1560.25,0.32714,1.32553,0.82825,0.0068,1,0.08854,0.07669,0.28562,3.54122,0.77704,0.000614,0.000614,0.000614
16,2003.27,0.30799,1.27861,0.79297,0.12418,1,0.83037,0.75587,0.28692,3.38609,0.77189,0.000515,0.000515,0.000515
17,2038.75,0.30884,1.29301,0.79738,1,0.81001,0.995,0.995,0.27947,3.19651,0.76986,0.000416,0.000416,0.000416
18,2075.2,0.29169,1.22696,0.82245,1,0.81001,0.995,0.995,0.27947,3.19651,0.76986,0.000317,0.000317,0.000317
19,2112.02,0.29421,1.15858,0.81128,1,0.99999,0.995,0.995,0.26564,3.01625,0.76514,0.000218,0.000218,0.000218
20,2147.08,0.2535,1.13796,0.77175,0.96733,1,0.995,0.995,0.24659,2.80148,0.75802,0.000119,0.000119,0.000119
